company_id,company_name,website,face_value,book_value,roe,roce,latest_profit_year,latest_sales,operating_profit,net_profit,eps,dividend,latest_balance_year,equity_capital,reserves,borrowings,total_assets,total_liabilities,latest_cashflow_year,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_cash_flow,sales_growth,profit_growth,stock_cagr,analysis_roe
INDUSINDBK,IndusInd Bank Ltd,https://www.indusind.com/in/en/personal.html,10.0,807.0,15.2,7.93,TTM,49004.0,20104.0,8122.0,104.0,,Mar 2024,778.0,62019.0,432404.0,514935.0,514935.0,Mar 2024,-16843.0,-625.0,-2242.0,-19710.0,,,,
NAUKRI,Info Edge (India) Ltd,http://www.infoedge.in/,10.0,3225.0,2.44,3.65,TTM,2662.0,751.0,551.0,36.0,,Sep 2024,129.0,41659.0,256.0,50186.0,50186.0,Mar 2024,702.0,-852.0,120.0,-29.0,,,,
INFY,Infosys Ltd,http://www.infosys.com/,5.0,218.0,31.8,40.0,TTM,159988.0,38145.0,27687.0,67.0,,Sep 2024,2072.0,88391.0,8804.0,141870.0,141870.0,Mar 2024,25210.0,-5093.0,-17504.0,2613.0,TTM:            3%,TTM:                 8%,,Last Year:     32%
INDIGO,Interglobe Aviation Ltd,http://www.goindigo.in/,10.0,97.0,,24.5,TTM,76476.0,60568.0,6074.0,157.0,,Sep 2024,48.0,905.0,20.0,1239.0,1239.0,Mar 2024,21183.0,-11759.0,-9979.0,-555.0,,,,
JSWENERGY,JSW Energy Ltd,https://www.jsw.in/,10.0,160.0,8.4,8.59,TTM,11416.0,5382.0,1988.0,11.0,,Sep 2024,1745.0,26226.0,30853.0,64932.0,64932.0,Mar 2024,6234.0,-8197.0,1675.0,-289.0,,,,
JSWSTEEL,JSW Steel Ltd,https://www.jswsteel.in/,1.0,326.0,11.66,13.36,TTM,170274.0,22478.0,3312.0,14.0,,Sep 2024,305.0,79361.0,95258.0,233168.0,233168.0,Mar 2024,12078.0,-14467.0,-5005.0,-7394.0,,,,
JINDALSTEL,Jindal Steel & Power Ltd,http://www.jindalsteelpower.com/,1.0,464.0,14.1,13.2,TTM,50019.0,10327.0,5060.0,50.0,,Sep 2024,101.0,47240.0,17266.0,82771.0,82771.0,Mar 2024,6008.0,-8344.0,1381.0,-955.0,,,,
JIOFIN,Jio Financial Services Ltd,https://www.jfs.in/,10.0,216.0,1.82,2.16,TTM,1968.0,1531.0,1607.0,3.0,,Sep 2024,6353.0,130791.0,0.0,144222.0,144222.0,Mar 2024,-678.0,1441.0,-753.0,11.0,,,,
KOTAKBANK,"Kotak Mahindra Bank Ltd
",https://www.kotak.com/en/home.html,5.0,654.0,15.1,7.86,TTM,64053.0,50872.0,22530.0,113.0,,Mar 2024,994.0,128978.0,520374.0,767667.0,767667.0,Mar 2024,15685.0,-8919.0,15515.0,22281.0,,,,
LTIM,LTIMindtree Ltd,https://www.ltimindtree.com/,1.0,711.0,26.04,34.1,TTM,37129.0,6434.0,4574.0,154.0,,Sep 2024,30.0,21045.0,2326.0,28761.0,28761.0,Mar 2024,5670.0,-3918.0,-2269.0,-518.0,,,,
LT,Larsen & Toubro Ltd,https://www.larsentoubro.com/,2.0,635.0,10.49,17.18,TTM,238881.0,30815.0,16150.0,98.0,,Sep 2024,30.0,21045.0,2326.0,28761.0,28761.0,Mar 2024,18266.0,2179.0,-25413.0,-4968.0,,,,
LICI,Life Insurance Corporation of India,https://www.licindia.in/,10.0,154.0,63.61,63.79,TTM,896106.0,25851.0,41468.0,,,Sep 2024,6325.0,91312.0,10.0,5719121.0,5719121.0,Mar 2024,26122.0,-25269.0,-4427.0,-3574.0,,,,
LODHA,Macrotech Developers Ltd,https://www.lodhagroup.com/,10.0,183.0,10.7,11.1,TTM,13574.0,3812.0,2511.0,25.0,,Sep 2024,995.0,17189.0,7990.0,47385.0,47385.0,Mar 2024,2512.0,-2947.0,951.0,516.0,,,,
M&M,"Mahindra & Mahindra Ltd
",https://auto.mahindra.com/,5.0,567.0,17.99,26.98,TTM,145893.0,27204.0,13009.0,95.0,,Sep 2024,558.0,69944.0,116844.0,255280.0,255280.0,Mar 2024,-5630.0,-5615.0,12281.0,1037.0,,,,
MARUTI,Maruti Suzuki India Ltd,https://www.marutisuzuki.com/,5.0,2835.0,15.75,23.67,TTM,145213.0,19766.0,14021.0,446.0,,Sep 2024,157.0,88969.0,158.0,121696.0,121696.0,Mar 2024,16801.0,-11865.0,-4062.0,874.0,,,,
NHPC,"NHPC Ltd
",http://www.nhpcindia.com/,10.0,40.0,9.61,7.67,TTM,9690.0,5015.0,3417.0,3.0,,Sep 2024,10045.0,30104.0,34210.0,97681.0,97681.0,Mar 2024,6938.0,-5968.0,-581.0,388.0,,,,
NTPC,NTPC Ltd,https://ntpc.co.in/,10.0,174.0,12.52,10.58,TTM,185892.0,52392.0,22546.0,23.0,,Sep 2024,9697.0,158575.0,242009.0,492230.0,492230.0,Mar 2024,40785.0,-32141.0,-8246.0,398.0,,,,
NESTLEIND,Nestle India Ltd,https://www.nestle.in/,1.0,41.0,135.61,185.43,TTM,19786.0,4726.0,3323.0,34.0,,Sep 2024,96.0,3894.0,370.0,11108.0,11108.0,Mar 2024,4175.0,-1237.0,-3135.0,-198.0,,,,
ONGC,Oil & Natural Gas Corpn Ltd,https://www.ongcindia.com/,5.0,275.0,14.32,19.71,TTM,658694.0,85870.0,42320.0,33.0,,Sep 2024,6290.0,345986.0,191489.0,757614.0,757614.0,Mar 2024,99263.0,-57203.0,-45650.0,-3591.0,,,,
PIDILITIND,Pidilite Industries Ltd,http://www.pidilite.com/,1.0,171.0,22.8,29.7,TTM,12901.0,2952.0,1973.0,38.0,,Sep 2024,51.0,8664.0,379.0,12755.0,12755.0,Mar 2024,2724.0,-1769.0,-742.0,212.0,,,,
PFC,Power Finance Corporation Ltd,https://www.pfcindia.com/,10.0,333.0,19.49,9.96,TTM,98152.0,35764.0,28248.0,64.0,,Sep 2024,3300.0,106746.0,910447.0,1103361.0,1103361.0,Mar 2024,-97820.0,-3409.0,101261.0,32.0,,,,
POWERGRID,Power Grid Corporation of India Ltd,https://www.powergrid.in/,10.0,99.0,19.0,13.2,TTM,45812.0,39235.0,15712.0,17.0,,Sep 2024,9301.0,82760.0,122568.0,255297.0,255297.0,Mar 2024,37290.0,-13114.0,-25903.0,-1728.0,,,,
PNB,Punjab National Bank,https://www.pnbindia.in/,2.0,110.0,8.7,1.63,TTM,116126.0,,14535.0,13.0,,Mar 2024,260.0,14673.0,55017.0,72371.0,72371.0,Mar 2024,-27939.0,-1506.0,3518.0,-25928.0,,,,
RECLTD,REC Ltd,https://recindia.nic.in/,10.0,279.0,22.2,10.0,TTM,51490.0,50860.0,14885.0,57.0,,Sep 2024,2633.0,70877.0,483617.0,595227.0,595227.0,Mar 2024,-57723.0,-1831.0,59588.0,34.0,,,,
RELIANCE,"Reliance Industries Ltd
",https://www.ril.com/,10.0,606.0,9.25,9.61,TTM,939838.0,164128.0,79941.0,51.0,,Sep 2024,6766.0,812687.0,357525.0,1815123.0,1815123.0,Mar 2024,158788.0,-113581.0,-16646.0,28561.0,,,,
SBILIFE,SBI Life Insurance Company Ltd,https://www.sbilife.co.in/,10.0,162.0,12.0,13.2,TTM,130073.0,1007.0,2411.0,24.0,,Sep 2024,1002.0,15257.0,0.0,448497.0,448497.0,Mar 2024,29122.0,-31221.0,-227.0,-2327.0,TTM:            43%,TTM:                 18%,,Last Year:      12%
MOTHERSON,Samvardhana Motherson International Ltd,http://www.motherson.com/,1.0,46.0,11.8,13.7,TTM,109382.0,10474.0,4123.0,6.0,,Sep 2024,704.0,31930.0,25417.0,97879.0,97879.0,Mar 2024,7569.0,-6644.0,1281.0,2205.0,,,,
SHREECEM,Shree Cement Ltd,https://www.shreecement.com/,10.0,5787.0,12.2,14.8,TTM,19802.0,4226.0,1733.0,480.0,,Sep 2024,36.0,20843.0,1682.0,27859.0,27859.0,Mar 2024,3347.0,-1418.0,-1710.0,220.0,,,,
SHRIRAMFIN,"Shriram Finance Ltd
",https://www.shriramfinance.in/,2.0,279.0,15.9,11.3,TTM,39864.0,11416.0,9454.0,50.0,,Sep 2024,376.0,52016.0,207820.0,275087.0,275087.0,Mar 2024,-31101.0,-258.0,27609.0,-3750.0,,,,
SIEMENS,Siemens Ltd,https://www.siemens.com/in/en.html,2.0,431.0,19.1,25.6,Sep 2024,22240.0,3104.0,2718.0,76.0,16.0,Sep 2024,71.0,15286.0,279.0,25299.0,25299.0,Sep 2024,1670.0,-502.0,-523.0,644.0,,,,
SBIN,State Bank of India,https://sbi.co.in/,1.0,465.0,17.3,6.16,TTM,469625.0,-59190.0,74461.0,80.0,,,,,,,,Mar 2024,21632.0,-3476.0,-9896.0,8260.0,,,,
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,https://sunpharma.com/,1.0,288.0,16.7,17.3,TTM,50308.0,14059.0,11117.0,46.0,,Sep 2024,240.0,68875.0,2572.0,88116.0,88116.0,Mar 2024,12135.0,-763.0,-6710.0,4662.0,,,,
TVSMOTOR,TVS Motor Company Ltd,,,,,,TTM,42886.0,6190.0,2094.0,42.0,,Sep 2024,48.0,7712.0,14619.0,44946.0,44946.0,Mar 2024,-1253.0,-1001.0,2759.0,505.0,,,,
TCS,Tata Consultancy Services Ltd,https://www.tcs.com/,1.0,281.0,0.52,64.3,TTM,252082.0,67591.0,49006.0,135.0,,Sep 2024,362.0,101133.0,9046.0,161124.0,161124.0,Mar 2024,44338.0,6091.0,-48536.0,1893.0,TTM:            5%             ,TTM:                 8%,,Last Year:       52%
TATACONSUM,Tata Consumer Products Ltd,https://www.tataconsumer.com/,1.0,193.0,8.32,10.6,TTM,16297.0,2496.0,1170.0,12.0,,Sep 2024,99.0,19033.0,2955.0,30970.0,30970.0,Mar 2024,1937.0,-1911.0,256.0,281.0,,,,
TATAMOTORS,Tata Motors Ltd,https://www.tatamotors.com/,2.0,275.0,49.4,20.1,TTM,440061.0,60497.0,33816.0,99.0,,Sep 2024,736.0,100326.0,106549.0,390656.0,390656.0,Mar 2024,67915.0,-22782.0,-37006.0,8128.0,,,,
TATAPOWER,"Tata Power Company Ltd
",https://www.tatapower.com/,1.0,105.0,11.3,11.1,TTM,63489.0,11057.0,4403.0,12.0,,Sep 2024,320.0,33360.0,58314.0,145130.0,145130.0,Mar 2024,12596.0,-9027.0,-4497.0,-928.0,,,,
TATASTEEL,"Tata Steel Ltd
",https://www.tatasteel.com/,1.0,72.0,6.55,7.02,TTM,221012.0,25314.0,2527.0,2.0,,Sep 2024,1247.0,88900.0,99392.0,280841.0,280841.0,Mar 2024,20301.0,-14253.0,-11097.0,-5049.0,,,,
TECHM,Tech Mahindra Ltd,https://www.techmahindra.com/,5.0,270.0,8.63,11.9,TTM,52476.0,6223.0,3775.0,38.0,,Sep 2024,442.0,26004.0,2035.0,42827.0,42827.0,Mar 2024,6376.0,-1318.0,-4767.0,291.0,,,,
TITAN,"Titan Company Ltd
",https://www.titancompany.in/,1.0,110.0,32.9,22.7,TTM,54458.0,5239.0,3243.0,37.0,,Sep 2024,89.0,9647.0,21648.0,38826.0,38826.0,Mar 2024,1695.0,-189.0,-1329.0,177.0,,,,
TORNTPHARM,Torrent Pharmaceuticals Ltd,https://www.torrentpharma.com/,5.0,222.0,24.2,23.2,TTM,11302.0,3640.0,1862.0,55.0,,Sep 2024,169.0,7335.0,3128.0,15088.0,15088.0,Mar 2024,3266.0,-160.0,-2780.0,327.0,,,,
TRENT,Trent Ltd,https://trentlimited.com/,1.0,132.0,27.2,23.8,TTM,15025.0,2354.0,1809.0,51.0,,Sep 2024,36.0,4644.0,1842.0,8274.0,8274.0,Mar 2024,1349.0,-508.0,-629.0,211.0,,,,
